wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-17,2023-07-01,2089,50,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-18,2023-07-02,2089,50,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-19,2023-07-03,2089,50,28.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-20,2023-07-04,2677,75,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-21,2023-07-05,2677,75,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-22,2023-07-06,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-23,2023-07-07,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-24,2023-07-08,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-25,2023-07-09,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-26,2023-07-10,69994,67,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-27,2023-07-11,639,100,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-28,2023-07-12,639,100,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-29,2023-07-13,,100,45.0,no,2023-05-10
Nebraska,924,Nebraska,Treatment plant,,NWSS_ne_924_Treatment plant_raw wastewater,Scotts Bluff,31157,15932,2023-06-30,2023-07-14,,100,45.0,no,2023-05-10
