wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-12,2023-06-26,52,100,26.6,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-13,2023-06-27,54,100,26.6,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-14,2023-06-28,6,100,25.2,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-15,2023-06-29,-55,100,25.2,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-16,2023-06-30,-55,100,25.2,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-17,2023-07-01,-55,100,25.2,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-18,2023-07-02,-55,100,25.2,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-19,2023-07-03,-55,100,25.2,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-20,2023-07-04,-32,100,25.2,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-21,2023-07-05,58,100,33.25,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-22,2023-07-06,138,100,33.25,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-23,2023-07-07,138,100,33.25,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-24,2023-07-08,138,100,33.25,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-25,2023-07-09,138,100,33.25,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-26,2023-07-10,243,100,49.75,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-27,2023-07-11,406,100,49.75,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-28,2023-07-12,240,100,63.25,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-29,2023-07-13,133,100,63.25,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-30,2023-07-14,133,100,63.25,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-01,2023-05-15,,100,47.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-02,2023-05-16,,100,47.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-03,2023-05-17,936,100,61.5,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-04,2023-05-18,936,100,61.5,no,2023-05-15
