wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-12,2023-06-26,20,100,13.8,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-13,2023-06-27,64,100,13.8,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-14,2023-06-28,84,100,20.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-15,2023-06-29,76,100,20.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-16,2023-06-30,76,100,20.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-17,2023-07-01,76,100,20.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-18,2023-07-02,76,100,20.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-19,2023-07-03,40,100,27.6,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-20,2023-07-04,11,100,27.6,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-21,2023-07-05,30,100,39.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-22,2023-07-06,51,100,39.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-23,2023-07-07,51,100,39.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-24,2023-07-08,51,100,39.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-25,2023-07-09,51,100,39.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-26,2023-07-10,73,100,47.8,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-27,2023-07-11,55,100,47.8,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-28,2023-07-12,6,100,50.2,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-29,2023-07-13,10,100,50.2,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-30,2023-07-14,10,100,50.2,no,2023-05-15
